question,contexts,ground_truth,evolution_type,metadata,episode_done
What's the % of GRE takers above the top decile in 2023?,"['[1] The Graduate Record Examinations is a standardized test that is part of the admissions process for many graduate schools in the United States and Canada and a few other countries. The GRE is owned and administered by Educational Testing Service. Median GRE in this case refers to scoring in the median of GRE testing for analytic writing in 2023. Top decile refers to scoring in the top 10% of GRE tests in 2023. Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of data sources as of Jan 9, 2024, which are available upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.GPT4 32k$0.16Median GRE1 Analytic WritingClaude 2$0.04Top Decile GRE1 Analytic Writing$0$0$1$10$100$1,00019021905190819111914191719201923192619291932193519381941194419471950195319561959196219651968197119741977198019831986198919921995199820012004200720102013201620192022Cost Per 1000 Words Written, 2023 Dollars, Log ScaleThe Cost of Authoring Written Content\nPost 1997 assumes constant words per employed writer over time$0.10WHY INVEST IN DISRUPTIVE INNOVATION?9\n$0.0016 $0.07 $0.15 $0.23 $1.40 \n $0.001 $0.010 $0.100 $1.000 $10.000Net Monetization Per HourGross Platform Monetization Rates**Text-based AIStreamed AudioVideo GamesStreamed VideoDating AppsOnline Experiences Are Becoming More Immersive And MonetizableHistory suggests that deeper immersion leads to higher monetization. After computer graphics expanded the market beyond text-based adventure games in the 1980s, gaming revenue soared 19% at an annual rate, from $6 billion in 1985 to $24 billion in 1993. Now, multimodal AI—text, images, audio, and video—are creating more immersive and interactive experiences that should expand the market.']",nan,reasoning,[{}],True
What EV adoption trends or interest rates might impact gas vehicle loan values?,"['88 117 154 231 341 566 648 798 1,298 1,608 1,541 \n - 200 400 600 800 1,000 1,200 1,400 1,600 1,800\n20132014201520162017201820192020202120222023ThousandsAmazon Robots And EmployeesRobotsEmployees (at start of year)Robots are freeing humans from tedious physical tasks. WHY INVEST IN DISRUPTIVE INNOVATION?15\nNote: Wright’s Law states that for every cumulative doubling of units produced, costs will fall by a constant percentage. *Motor Vehicle Loans Owned and Securitized data as of Q3 2023. ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, as of January 3, 2024, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.Autonomous Electric Vehicle Adoption Could Disrupt The US Auto Loan IndustryDuring the past three years, interest rate hikes have increased new vehicle monthly car loan payments by ~27%, from $581 to $739. As a result, the number of subprime auto loans delinquent by 60+ days recently hit an all-time high.Thanks to Wright’s Law, EV prices should continue to fall, shifting more miles onto electric platforms and decreasing the value of gas-powered vehicles. As a result, the ~$1.6 trillion in auto loans currently sitting on financial institution balance sheets, issued predominantly for gas-powered vehicles, could be at risk over the next 10 years. \n0%1%2%3%4%5%6%1993199419951996199719981999200020012002200320042005200620072008200920102011201220132014201520162017201820192020202120222023Percent Of LoansAuto Loan 60+ DelinquencySubprimePrime']","The adoption of electric vehicles (EVs) is expected to disrupt the US auto loan industry as EV prices are projected to continue falling due to Wright’s Law. This shift is likely to decrease the value of gas-powered vehicles, which could put the ~$1.6 trillion in auto loans, predominantly issued for gas-powered vehicles, at risk over the next 10 years. Additionally, interest rate hikes have increased new vehicle monthly car loan payments by approximately 27%, contributing to a rise in subprime auto loan delinquencies.",reasoning,[{}],True
How do pan-cancer blood tests and gene editing impact cancer care?,"['Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.Public BlockchainsUpon large-scale adoption, we believe all money and contracts likely will migrate onto Public Blockchains that enableand verifydigital scarcityand proof of ownership. The financial ecosystem is likely to reconfigure to accommodate the rise of Cryptocurrencies and Smart Contracts. These technologies increase transparency, reduce the influence of capital and regulatory controls, and collapse contract execution costs. In such a world, Digital Wallets would become increasingly necessary as more assets become money-like, and corporations and consumers adapt to the new financial infrastructure. Corporate structures themselves may be called into question. Multiomic SequencingThe cost to gather, sequence, and understand digital biological data is falling precipitously. Multiomic Technologies provide research scientists, therapeutic organizations and health platforms with unprecedented access to DNA, RNA, protein, and digital health data. Cancer care should transform with pan-cancer blood tests. Multiomic data should feed into novel Precision Therapies using emerging gene editing techniques that target and cure rare diseases and chronic conditions. Multiomics shouldunlock entirely new Programmable Biology capabilities, including the design and synthesis of novel biological constructs with applications across industries, particularly agriculture and food production', 'Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.Public BlockchainsUpon large-scale adoption, we believe all money and contracts likely will migrate onto Public Blockchains that enableand verifydigital scarcityand proof of ownership. The financial ecosystem is likely to reconfigure to accommodate the rise of Cryptocurrencies and Smart Contracts. These technologies increase transparency, reduce the influence of capital and regulatory controls, and collapse contract execution costs. In such a world, Digital Wallets would become increasingly necessary as more assets become money-like, and corporations and consumers adapt to the new financial infrastructure. Corporate structures themselves may be called into question. Multiomic SequencingThe cost to gather, sequence, and understand digital biological data is falling precipitously. Multiomic Technologies provide research scientists, therapeutic organizations and health platforms with unprecedented access to DNA, RNA, protein, and digital health data. Cancer care should transform with pan-cancer blood tests. Multiomic data should feed into novel Precision Therapies using emerging gene editing techniques that target and cure rare diseases and chronic conditions. Multiomics shouldunlock entirely new Programmable Biology capabilities, including the design and synthesis of novel biological constructs with applications across industries, particularly agriculture and food production']","Pan-cancer blood tests are expected to transform cancer care by providing new diagnostic capabilities, while gene editing techniques are anticipated to enable the development of novel Precision Therapies that target and cure rare diseases and chronic conditions, including cancer.",reasoning,"[{}, {}]",True
What costs and tips should investors consider for ETF trading?,"['. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns.Portfolio holdings will change and should not be considered as investment advice or a recommendation to buy, sell or hold any particular security. Please visit www.ark-funds.com for the most current list of holdings for the ARK ETFs.The information herein is general in nature and should not be considered financial, legal or tax advice. An investor should consult a financial professional, an attorney or tax professional regarding the investor’s specific situation. Certain information was obtained from sources that ARK believes to be reliable; however, ARK does not guarantee the accuracy or completeness of any information obtained from any third party. ARK Investment Management LLC is the investment adviser to the ARK ETFs.Foreside Fund Services, LLC, distributor.Disclosures']","Investors should consider the payment of brokerage commissions when buying or selling ETF shares on an exchange, as well as the potential brokerage costs incurred from frequent trading, which may significantly detract from investment returns. Additionally, it is advised that investors consult a financial professional regarding their specific situation.",reasoning,[{}],True
How has ChatGPT changed public engagement with generative AI in user access and enterprise use vs. pre-ChatGPT?,"[""110100\n201920202021202220232024202520262027202820292030Number of YearsExpected Years Until Launch Of A General Artificial Intelligence System(Log Scale) Pre GPT-3 average80 years\nIf forecast error continuesIf forecast is well-tuned34 years18 years8 years50 yearsWHY INVEST IN DISRUPTIVE INNOVATION?6\nPre-ChatGPT AveragePost-ChatGPT Average\n020406080100120140160180\nQ4'21Q1'22Q2 '22Q3'22Q4'22Q1'23Q2 '23Q3'23Number of MentionsThe Number of AI Mentions Tripled On Earnings CallsAlphabetAppleAmazonMetaMicrosoft\n0102030405060708090100\n012345Monthly Active Users(Millions) YearsChatGPT Users Hit 100 Million Users In Two MonthsChatGPTWeChatTikTokInstagramYouTubeFaceBookChatGPT Delighted Consumers And Amazed EnterprisesBuilding on years of progress since Google invented transformer architecture in 2017, ChatGPT catalyzed the public’s understanding of generative AI. No longer a tool just for developers, ChatGPT’s simple chat interface enabled anyone speaking any language to harness the power of large language models (LLMs). In 2023, enterprises scrambled to understand and deploy generative AI.\n*values between 0 and 100 million users are estimatesSources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of data sources, which are available upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.WHY INVEST IN DISRUPTIVE INNOVATION?7AI Already Has Boosted Productivity SignificantlyCoding assistants like GitHub Copilot and Replit AI are early success stories that have boosted the productivity and job satisfaction of software developers. AI-powered assistants are increasing the performance of knowledge workers and, interestingly, benefiting underperforming workers relatively more than high performers. \nWithout Gen AIWith Gen AITask Speed1.25x""]","ChatGPT has changed public engagement with generative AI by catalyzing the public’s understanding of generative AI and enabling anyone speaking any language to harness the power of large language models (LLMs) through its simple chat interface. This shift has led to enterprises scrambling to understand and deploy generative AI, contrasting with the pre-ChatGPT era where such tools were primarily for developers.",multi_context,[{}],True
"What are GPT's expected effects on GDP growth and consumer surplus, given their initial economic drawbacks?","['Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying sources, including Bekar et al. 2017, which may be provided upon request. The chart uses GPT 4 prompting to survey a comprehensive list of general purpose technologies using the identification framework detailed therein. Where available, academic literature is also used to assess attributable economic impact. A GPT-4 scoring rubric assesses technology-by-technology impacts. The impact measured directly is matched against the scoring to tune all scores to produce technology-by-technology estimates of economic impact (even when direct measures of economic impact are unattainable). Consistent with General Purpose Technology theory, these technologies are assumed to go through a period of investment in which economic impact is negative before productivity advances begin to realize into economic data. All technologies are assumed to have the same diffusion and realization cycle. If recent technologies are assumed to diffuse more quickly, the current wave would appear steeper. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.-2381318178017851790179518001805181018151820182518301835184018451850185518601865187018751880188518901895190019051910191519201925193019351940194519501955196019651970197519801985199019952000200520102015202020252030Estimated Economic Impact of General Purpose Technologies(Annual Percentage Point Additions to Real GDP Growth And Consumer Surplus)', 'Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying sources, including Bekar et al. 2017, which may be provided upon request. The chart uses GPT 4 prompting to survey a comprehensive list of general purpose technologies using the identification framework detailed therein. Where available, academic literature is also used to assess attributable economic impact. A GPT-4 scoring rubric assesses technology-by-technology impacts. The impact measured directly is matched against the scoring to tune all scores to produce technology-by-technology estimates of economic impact (even when direct measures of economic impact are unattainable). Consistent with General Purpose Technology theory, these technologies are assumed to go through a period of investment in which economic impact is negative before productivity advances begin to realize into economic data. All technologies are assumed to have the same diffusion and realization cycle. If recent technologies are assumed to diffuse more quickly, the current wave would appear steeper. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.-2381318178017851790179518001805181018151820182518301835184018451850185518601865187018751880188518901895190019051910191519201925193019351940194519501955196019651970197519801985199019952000200520102015202020252030Estimated Economic Impact of General Purpose Technologies(Annual Percentage Point Additions to Real GDP Growth And Consumer Surplus)']","General Purpose Technologies (GPTs) are expected to have a negative economic impact initially due to a period of investment before productivity advances begin to realize into economic data. However, once these advances occur, GPTs are projected to contribute positively to real GDP growth and consumer surplus over time.",multi_context,"[{}, {}]",True
What investment risks from health care regulations vs. those in comms & IT?,"[""Contact our ETF Specialists:Rebecca L. Burke Vice President  | National ETF Sales Resolute Investment Managers, Inc.M. 978.609.0553 rebecca.burke@resolutemanagers.comJack Stock, CIMAVice President   |  National ETF SalesResolute Investment Managers, Inc.M. 817.823.5337jack.stock@resolutemanagers.comRyan Hodapp, CFA, CAIAVice President  | National ETF Sales Resolute Investment Managers, Inc.M. 617.279.3571ryan.hodapp@resolutemanagers.comARK Investment Management LLC•22  Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs’ prospectuses, which may be obtained by visiting www.ark-funds.com. The prospectus should be read carefully before investing. Investing in securities involves risk and there's no guarantee of principal.Fund Risks: The principal risks of investing in the ARKK include: Equity Securities Risk. The value of the equity securities the Fund holds may fall due to general market and economic conditions. Foreign Securities Risk. Investments in the securities of foreign issuers involve risks beyond those associated with investments in U.S. securities. Health Care Sector Risk. The health care sector may be adversely affected by government regulations and government health care programs. Communications Sector Risk. Companies is this sector may be adversely affected by potential obsolescence of products/services, pricing competition, research and development costs, substantial capital requirements and government regulation. Information Technology Sector Risk. Information technology companies face intense competition, both domestically and internationally, which may have an adverse effect on profit margins. Additional risks of investing in ARKK include equity, market, management and non-diversification risks, as well as fluctuations in market value and NAV. Disruptive Innovation Risk""]","The health care sector may be adversely affected by government regulations and government health care programs, while the communications sector may be adversely affected by potential obsolescence of products/services, pricing competition, research and development costs, substantial capital requirements, and government regulation.",multi_context,[{}],True
Who benefits from disruptive innovation and diversification with moderate-to-high risk for long-term growth?,"['Note: Numbers are rounded. ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources as of December 7, 2023, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$24$12$0.35With Line of SightWith Visual ObserverAutonomousDrone Delivery Price(10-mile Trip)~50%~90%$0$2$4$6$8$10$12$14$16$18\nMealApp DeliverySelf PickupDrones(at scale)RollingRobots(at scale)Average Dollars Per OrderFood Delivery Costs (Pre-Tax)MealDelivery Cost\nWith Line-Of-SightWHY INVEST IN DISRUPTIVE INNOVATION?•17  1. Access to Growth Investors who seek to access companies at the forefront of technology-enabled innovation, in some of the most promising areas of the economy, with potential for long-term growth.2. Portfolio DiversificationPotentially Suited for investors who like to diversify their existing portfolio with strategies that offer low correlation to a number of core asset classes held in most investors’ portfolios.3. Moderate-to-High Risk-Reward ProfileA constant focus on secular changes and disruptive innovation can compliment traditional strategies and core portfolios. May be suited for investors who have a moderate-to-high risk profile and intend to stay invested for the medium-to-long term.ARK Seeks to Capture Disruptive Innovation', 'Note: Numbers are rounded. ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources as of December 7, 2023, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$24$12$0.35With Line of SightWith Visual ObserverAutonomousDrone Delivery Price(10-mile Trip)~50%~90%$0$2$4$6$8$10$12$14$16$18\nMealApp DeliverySelf PickupDrones(at scale)RollingRobots(at scale)Average Dollars Per OrderFood Delivery Costs (Pre-Tax)MealDelivery Cost\nWith Line-Of-SightWHY INVEST IN DISRUPTIVE INNOVATION?•17  1. Access to Growth Investors who seek to access companies at the forefront of technology-enabled innovation, in some of the most promising areas of the economy, with potential for long-term growth.2. Portfolio DiversificationPotentially Suited for investors who like to diversify their existing portfolio with strategies that offer low correlation to a number of core asset classes held in most investors’ portfolios.3. Moderate-to-High Risk-Reward ProfileA constant focus on secular changes and disruptive innovation can compliment traditional strategies and core portfolios. May be suited for investors who have a moderate-to-high risk profile and intend to stay invested for the medium-to-long term.ARK Seeks to Capture Disruptive Innovation']",Investors who seek to access companies at the forefront of technology-enabled innovation and those who like to diversify their existing portfolio with strategies that offer low correlation to core asset classes benefit from disruptive innovation and diversification with a moderate-to-high risk for long-term growth.,multi_context,"[{}, {}]",True
"How does a median GRE analytic writing score impact grad admissions, especially vs. top decile scores?","['[1] The Graduate Record Examinations is a standardized test that is part of the admissions process for many graduate schools in the United States and Canada and a few other countries. The GRE is owned and administered by Educational Testing Service. Median GRE in this case refers to scoring in the median of GRE testing for analytic writing in 2023. Top decile refers to scoring in the top 10% of GRE tests in 2023. Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of data sources as of Jan 9, 2024, which are available upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.GPT4 32k$0.16Median GRE1 Analytic WritingClaude 2$0.04Top Decile GRE1 Analytic Writing$0$0$1$10$100$1,00019021905190819111914191719201923192619291932193519381941194419471950195319561959196219651968197119741977198019831986198919921995199820012004200720102013201620192022Cost Per 1000 Words Written, 2023 Dollars, Log ScaleThe Cost of Authoring Written Content\nPost 1997 assumes constant words per employed writer over time$0.10WHY INVEST IN DISRUPTIVE INNOVATION?9\n$0.0016 $0.07 $0.15 $0.23 $1.40 \n $0.001 $0.010 $0.100 $1.000 $10.000Net Monetization Per HourGross Platform Monetization Rates**Text-based AIStreamed AudioVideo GamesStreamed VideoDating AppsOnline Experiences Are Becoming More Immersive And MonetizableHistory suggests that deeper immersion leads to higher monetization. After computer graphics expanded the market beyond text-based adventure games in the 1980s, gaming revenue soared 19% at an annual rate, from $6 billion in 1985 to $24 billion in 1993. Now, multimodal AI—text, images, audio, and video—are creating more immersive and interactive experiences that should expand the market.', '[1] The Graduate Record Examinations is a standardized test that is part of the admissions process for many graduate schools in the United States and Canada and a few other countries. The GRE is owned and administered by Educational Testing Service. Median GRE in this case refers to scoring in the median of GRE testing for analytic writing in 2023. Top decile refers to scoring in the top 10% of GRE tests in 2023. Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of data sources as of Jan 9, 2024, which are available upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.GPT4 32k$0.16Median GRE1 Analytic WritingClaude 2$0.04Top Decile GRE1 Analytic Writing$0$0$1$10$100$1,00019021905190819111914191719201923192619291932193519381941194419471950195319561959196219651968197119741977198019831986198919921995199820012004200720102013201620192022Cost Per 1000 Words Written, 2023 Dollars, Log ScaleThe Cost of Authoring Written Content\nPost 1997 assumes constant words per employed writer over time$0.10WHY INVEST IN DISRUPTIVE INNOVATION?9\n$0.0016 $0.07 $0.15 $0.23 $1.40 \n $0.001 $0.010 $0.100 $1.000 $10.000Net Monetization Per HourGross Platform Monetization Rates**Text-based AIStreamed AudioVideo GamesStreamed VideoDating AppsOnline Experiences Are Becoming More Immersive And MonetizableHistory suggests that deeper immersion leads to higher monetization. After computer graphics expanded the market beyond text-based adventure games in the 1980s, gaming revenue soared 19% at an annual rate, from $6 billion in 1985 to $24 billion in 1993. Now, multimodal AI—text, images, audio, and video—are creating more immersive and interactive experiences that should expand the market.']",nan,multi_context,"[{}, {}]",True
"What factors affect lifelong healthcare costs, including therapy expenses and drug development savings?","['$0.0$0.5$1.0$1.5$2.0$2.5\n1357911131517192123252729313335373941434547495153MillionsAgeSCD Healthcare Costs Over Average Patient LifetimeTherapeuticsOther Costs\n*Quality of Life Years Gained = Health Utility * DurationFor Health Utility, 0 means dead and 1 means full healthData are as of December of 2023.Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.TherapeuticsOther Costs$0.0$0.5$1.0$1.5$2.0$2.5\nCurrent Direct CostQu ality of Life Years GainedNew Therapy CostMillionsReasonable Cost For Sickle Cell Disease Cure\nForecast*WHY INVEST IN DISRUPTIVE INNOVATION?12Drug Development Costs Could Drop PrecipitouslyAdvances in fundamental biology, artificial intelligence, automation, and trial design should lower preclinical drug development costs significantly. They enable methods that eliminate less-promising candidates early in the drug development process, prevent downstream misallocation of R&D capital, and create a larger chemical search space early in the discovery phase. During the next decade, companies leveraging these techniques fully could lower costs per approval by almost 50%, in part by more than doubling the odds of success for those drug candidates that do enter clinical trials.\nSources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.$0$100$200$300$400$500$600$700$800$900$1,000']","The context discusses various factors affecting lifelong healthcare costs, including the costs associated with therapeutics and other healthcare expenses. It also mentions that advances in fundamental biology, artificial intelligence, automation, and trial design could significantly lower preclinical drug development costs, which would impact overall healthcare costs. These advancements could lead to a reduction in costs per approval by almost 50% and improve the odds of success for drug candidates entering clinical trials.",multi_context,[{}],True
How do multiomic advances aid precision therapies for cancer and rare diseases?,"['Sources: ARK Investment Management LLC, 2024. This ARK analysis is based on a range of underlying data from external sources, which may be provided upon request. Forecasts are inherently limited and cannot be relied upon. For informational purposes only and should not be considered investment advice or a recommendation to buy, sell, or hold any particular security. Past performance is not indicative of future results.Public BlockchainsUpon large-scale adoption, we believe all money and contracts likely will migrate onto Public Blockchains that enableand verifydigital scarcityand proof of ownership. The financial ecosystem is likely to reconfigure to accommodate the rise of Cryptocurrencies and Smart Contracts. These technologies increase transparency, reduce the influence of capital and regulatory controls, and collapse contract execution costs. In such a world, Digital Wallets would become increasingly necessary as more assets become money-like, and corporations and consumers adapt to the new financial infrastructure. Corporate structures themselves may be called into question. Multiomic SequencingThe cost to gather, sequence, and understand digital biological data is falling precipitously. Multiomic Technologies provide research scientists, therapeutic organizations and health platforms with unprecedented access to DNA, RNA, protein, and digital health data. Cancer care should transform with pan-cancer blood tests. Multiomic data should feed into novel Precision Therapies using emerging gene editing techniques that target and cure rare diseases and chronic conditions. Multiomics shouldunlock entirely new Programmable Biology capabilities, including the design and synthesis of novel biological constructs with applications across industries, particularly agriculture and food production']","Multiomic advances aid precision therapies for cancer and rare diseases by providing unprecedented access to DNA, RNA, protein, and digital health data. This data can be utilized to develop pan-cancer blood tests and feed into novel Precision Therapies that use emerging gene editing techniques to target and cure these conditions.",multi_context,[{}],True
